,Listed Count,Location,Name,Retweet at,Time,Time Zone,Tweet
2142,0,"""Hamtramck, MI","""SilencioJoe""",null,01:46:47,null,"['This', 'dude', 'just', 'yoked', 'a', 'sheep', 'in', 'front', 'of', 'the', 'whole', 'diner', 'and', 'a', 'random', 'lady', 'snapped', 'a', 'pic', 'for', 'the', 'Gram', 'Bruh', 'TheLeftovers']"
2143,2,nul,"""sweatpeapolitic""",null,01:46:47,null,"['RT', 'RealSteeleCity', 'You', 'know', 'your', 'town', 'is', 'screwed', 'up', 'when', 'a', 'spontaneous', 'ritual', 'goat', 'sacrifice', 'in', 'the', 'middle', 'of', 'a', 'diner', 'doesn', 't', 'faze', 'anybody\xe2']"
2144,25,"""Toronto, Ontario, Canada","""JackCox""",null,01:46:49,"""Eastern Time (US & Canada)""","['Once', 'again', 'ladies', 'and', 'gentlemen', 'if', 'you', 'know', 'this', 'show', 's', 'nature', 'you', 'aren', 't', 'getting', 'any', 'answers', 'TheLeftovers']"
2145,3,nul,"""JustinCapera""",null,01:46:49,null,"['They', 'really', 'hyped', 'us', 'up', 'for', 'no', 'reason', 'TheLeftovers']"
2146,13,"""Los Angeles ","""Jazz_minBrown""",null,01:46:50,"""Pacific Time (US & Canada)""","['RT', 'rsnydr', 'There', 's', 'no', 'place', 'safer', 'on', 'earth', 'says', 'the', 'guys', 'that', 'burns', 'down', 'people', 's', 'homes', 'TheLeftovers']"
2147,11,"""Deep within the rabbit hole..","""Lucid_Dragon""",null,01:46:52,"""Central Time (US & Canada)""","['You', 'know', 'some', 'of', 'wants', 'his', 'hand', 'chopped', 'up', 'RIGHT', 'TheLeftovers']"
2148,0,nul,"""BrennyHana""",null,01:46:52,"""Quito""","['RT', 'TheLeftoversHBO', 'WelcomeToMiracle', 'n', 'n', 'TheLeftovers', 'begins', 'now', 'on', 'HBO', 'http', 't', 'co', 'J4P1Rqtzlc']"
2149,1,"""Reynosa Tamaulipas.","""daniela180103""",null,01:46:54,null,"['RT', 'imarioruiz', 'Basada', 'en', 'una', 'novela', 'donde', 'el', 'mismo', 'autor', 'colabor\xc3\xb3', 'con', 'un', 'capitulo', 'TheLeftovers', 'http', 't', 'co', 'chlTP2TfrX', '2a', 'temp', 'este', 'domin\xe2']"
2150,17,"""Running through the Omega 4 Relay with my woes","""DMGilchrist""",null,01:46:56,"""Central Time (US & Canada)""","['And', 'then', 'these', 'niggas', 'acted', 'like', 'it', 'was', 'a', 'normal', 'occurrence', 'It', 's', 'just', 'another', 'Sunday', 'for', 'them', 'TheLeftovers']"
2151,12,"""ioooooowa","""leirariel450""",null,01:46:58,"""Central Time (US & Canada)""","['looks', 'nervously', 'at', 'her', 'own', 'garbage', 'disposal', 'TheLeftovers']"
2152,4,"""Philadelphia, PA","""efs120""","""MarkLinnBaker_""",01:46:59,"""Atlantic Time (Canada)""","['MarkLinnBaker_', 'how', 'could', 'you', 'TheLeftovers']"
2153,54,"""Somewhere shuffling the deck ","""Still_Birdy""",null,01:46:59,"""Eastern Time (US & Canada)""","['John', 'scared', 'of', 'the', 'garbage', 'disposal', 'lol', 'TheLeftovers', 'DemLeftovers']"
2154,3,"""LA","""pqpstarks""",null,01:46:59,"""Brasilia""","['RT', 'NEToficial', 'Quais', 'ser\xc3', 'o', 'as', 'surpresas', 'reservadas', 'p', 'a', '2\xc2\xaa', 'temporada', 'de', 'TheLeftovers', 'http', 't', 'co', '7l1Uy0xive']"
